,activation,match,Loss,Accuracy,Recall,Precision,F1
29,elu,"[64, 8, 20]",0.44858744740486145,0.7903226017951965,0.6744186282157898,0.707317054271698,0.6904761938213485
41,elu,"[32, 8, 20]",0.43665480613708496,0.7903226017951965,0.7209302186965942,0.6888889074325562,0.7045454576242065
63,tanh,"[32, 16, 40]",0.44036632776260376,0.7903226017951965,0.7674418687820435,0.6734693646430969,0.7173912948691098
80,LeakyReLU,"[64, 4, 10]",0.4632040858268738,0.7822580933570862,0.7674418687820435,0.6600000262260437,0.7096774380721718
93,LeakyReLU,"[32, 4, 20]",0.4416917860507965,0.7822580933570862,0.6279069781303406,0.7105262875556946,0.666666655020095
72,LeakyReLU,"[64, 16, 10]",0.4787515103816986,0.7822580933570862,0.604651153087616,0.7222222089767456,0.6582278368507817
94,LeakyReLU,"[32, 4, 30]",0.4492129683494568,0.774193525314331,0.6511628031730652,0.6829268336296082,0.6666666752829843
20,relu,"[32, 4, 10]",0.5744739770889282,0.774193525314331,0.39534884691238403,0.8947368264198303,0.5483871031626204
88,LeakyReLU,"[32, 8, 10]",0.5198262929916382,0.774193525314331,0.7209302186965942,0.6595744490623474,0.6888888721848712
48,tanh,"[64, 16, 10]",0.4668309688568115,0.774193525314331,0.6976743936538696,0.6666666865348816,0.6818181802941987
45,elu,"[32, 4, 20]",0.43655410408973694,0.774193525314331,0.6976743936538696,0.6666666865348816,0.6818181802941987
61,tanh,"[32, 16, 20]",0.44247010350227356,0.774193525314331,0.6511628031730652,0.6829268336296082,0.6666666752829843
32,elu,"[64, 4, 10]",0.4664817452430725,0.7661290168762207,0.6744186282157898,0.6590909361839294,0.666666692039393
24,elu,"[64, 16, 10]",0.47134995460510254,0.7661290168762207,0.7209302186965942,0.6458333134651184,0.68131866407285
12,relu,"[32, 16, 10]",0.4983665645122528,0.7661290168762207,0.5348837375640869,0.71875,0.6133333442687987
36,elu,"[32, 16, 10]",0.4803094267845154,0.7580645084381104,0.6976743936538696,0.6382978558540344,0.6666666462833498
44,elu,"[32, 4, 10]",0.5050199627876282,0.75,0.6744186282157898,0.6304348111152649,0.6516854194901895
56,tanh,"[64, 4, 10]",0.5023777484893799,0.75,0.6976743936538696,0.625,0.6593406481985278
28,elu,"[64, 8, 10]",0.5029502511024475,0.7419354915618896,0.6976743936538696,0.6122449040412903,0.6521739055928973
52,tanh,"[64, 8, 10]",0.4718558192253113,0.7419354915618896,0.6744186282157898,0.6170212626457214,0.6444444475939239
68,tanh,"[32, 4, 10]",0.5067776441574097,0.7419354915618896,0.6511628031730652,0.6222222447395325,0.6363636540972496
64,tanh,"[32, 8, 10]",0.5064362287521362,0.7338709831237793,0.6511628031730652,0.6086956262588501,0.6292134751245353
40,elu,"[32, 8, 10]",0.5145809650421143,0.725806474685669,0.6744186282157898,0.5918367505073547,0.6304348018759816
60,tanh,"[32, 16, 10]",0.5038616061210632,0.7096773982048035,0.6976743936538696,0.5660377144813538,0.6249999769627013
